text,category
Will I know which exchange rate I will get?,Payment_Industry
How do I know what the exchange rate will be when I make an exchange.,Payment_Industry
Is the exchange rate the same on weekends as the weekdays?,Payment_Industry
How do you do exchanges?,Payment_Industry
On what do you base your exchange rates?,Payment_Industry
How do you come up with your exchange rate,Payment_Industry
What factors determine your exchange rate?,Payment_Industry
How are the exchange rates determined?,Payment_Industry
I would like to know what your exchange rates are.,Payment_Industry
Is the exchange rate current?,Payment_Industry
What are the exchange rates?,Payment_Industry
How much are the rates of exchange?,Payment_Industry
How do you decide what your exchange rates are?,Payment_Industry
Your exchange rates are coming from where?,Payment_Industry
Is there a specific source that the exchange rate for the transfer I'm planning on making is pulled from?,Payment_Industry
How are the exchange rates for transfers calculated?,Payment_Industry
How do I know how much money I will have when I travel abroad?,Payment_Industry
How do you do currency exchanges?,Payment_Industry
Can you explain your exchange rates basis?,Payment_Industry
How did you guys get your exchange rate?,Payment_Industry
Can you tell me your exchange rates?,Payment_Industry
Could you tell me what your exchange rates are?,Payment_Industry
Does this app have the same exchange rate as third parties?,Payment_Industry
what are your exchange rates at?,Payment_Industry
How is the current exchange rate?,Payment_Industry
What is the system for determining the exchange rate?,Payment_Industry
I am travelling and I was wondering what your exchange rates are,Payment_Industry
How can I tell what foreign exchange rate I will get?,Payment_Industry
Tell me your opinion on the exchange rate.,Payment_Industry
I'd like to know what you guys look at to decide an exchange rate,Payment_Industry
How does the exchange rate work on this app?,Payment_Industry
where do you find your exchange rates?,Payment_Industry
I want to know your exchange rates.,Payment_Industry
What exchange rate is it?,Payment_Industry
What is the source of your exchange rates?,Payment_Industry
i need to know about exchange rates,Payment_Industry
Where do you get those exchange rates?,Payment_Industry
How do you determine the exchange rate?,Payment_Industry
What foreign exchange rate will I get?,Payment_Industry
"Last Saturday, I was charged extra for the exchange rate on my payment. Is something wrong?",Consumer_Protection
"Hi, I am disappointed to see such a bad exchange rate and hope you can assist me. Would you be able to confirm the official interbank exchange rate for me?",Consumer_Protection
I think the currency exchange that's been applied is wrong.,Consumer_Protection
The exchange rate I was charged for a purchase was not right.,Consumer_Protection
Can you please explain why the exchange rate for the item I bought is wrong?,Consumer_Protection
I think something went wrong with my exchange between Russian Ruble and UK pounds. I was overcharged during the swap.,Consumer_Protection
My payment has an incorrect exchange rate.,Consumer_Protection
my exchange rate looks wrong for my last payment,Consumer_Protection
The exchange rate you are using is bad.This can't be the official interbank exchange rate.,Consumer_Protection
I was charged the wing amount for an item.,Consumer_Protection
the exchange rate on my payment was wrong,Consumer_Protection
Why is the exchange rate terrible?  That can't be close to the actual interbank rate.,Consumer_Protection
An incorrect exchange rate was applied to an item I bought.,Consumer_Protection
The exchange rate was incorrect for an item I bought.,Consumer_Protection
The exchange rate on my payment doesn't look right,Consumer_Protection
"I just saw the exchange rate you use, but it's so bad that I can't believe that it's the official interbank exchange rate! Is this truly the official interbank exchange rate?",Consumer_Protection
This exchange rate you use is awful! Please tell me this is a mistake and not the official interbank exchange rate!,Consumer_Protection
After purchasing an item I noticed the exchange rate was incorrect.,Consumer_Protection
The amount of exchange was not correct for the item i bought.,Consumer_Protection
The exchange rate from my card payment isn't right.,Consumer_Protection
My exchange rate isn't correct.,Consumer_Protection
Why was the exchange rate so wrong when I bought something!,Consumer_Protection
My exchange rate was wrong for an Item I bought!,Consumer_Protection
I was using a foreign currecy to make a payment and the applied the wrong rate.,Consumer_Protection
The exchange rate was incorrect for this item I bought.,Consumer_Protection
I purchased something overseas and the incorrect exchange rate was applied.,Consumer_Protection
The exchange rate is incorrect for my payment.,Consumer_Protection
The item i bought exchanged rate was incorrect.,Consumer_Protection
I'm on holiday and I noticed a different amount for exchange rate.  Can you explain?,Consumer_Protection
I bought something in another country but the exchange rate is wrong,Consumer_Protection
I bought an item and the exchange rate was wrong.,Consumer_Protection
Exchange rate for my card payment is wrong,Consumer_Protection
the exchange rate at which my card payment is at is wrong,Consumer_Protection
There was a problem with the exchange rate on a purchase.,Consumer_Protection
"I recently purchased something, and the exchange rate was wrong.",Consumer_Protection
What if there is an error on the exchange rate?,Consumer_Protection
Why is my exchange rate wrong?,Consumer_Protection
Please check my payment from last Saturday as I feel I have been overcharged on the exchange rate.  Thank you.,Consumer_Protection
I used foreign currency to buy something and I think the rate applied is incorrect.,Consumer_Protection
This exchange rate on my purchase is wrong.,Consumer_Protection
Why is your exchange rate so bad?,Consumer_Protection
The exchange rate looks wrong on a holiday purchase,Consumer_Protection
"I purchased something abroad, and the exchange rate that was applied was wrong.",Consumer_Protection
I bought something and I take issue with the exchange rate applied.,Consumer_Protection
I think there has been a mistake on my exchange rate for this purchase.,Consumer_Protection
You did not give me the correct exchange rate for an item that I bought.,Consumer_Protection
I checked on google and the exchange rate you are using is really bad. Can you update it?,Consumer_Protection
"I seem to have been charged to much for my holiday purchases, the exchange rate is wrong.",Consumer_Protection
"In regards to my card payment, the exchange rate is incorrect.",Consumer_Protection
I bough an item and the exchange rate was incorrect.,Consumer_Protection
Why did you charge me more for my purchase? It was a foreign currency and you didn't offer market rate,Consumer_Protection
I question today's exchange rate for rubles into pounds. I was hoping for a better return.,Consumer_Protection
I feel as though I have been over charged for the exchange rate on my payment on last Saturday.,Consumer_Protection
My currency rate is inaccurate.,Consumer_Protection
The currency exchange rate was wrong for a purchase I made.,Consumer_Protection
I purchased something abroad and the incorrect exchange rate was applied.,Consumer_Protection
Your exchange rate was off.  I was charged extra on my payment that I made last Saturday.,Consumer_Protection
I was charged the wrong exchange rate on a purchase,Consumer_Protection
Can you change the rate for the item I bought in a different currency as it is wrong?,Consumer_Protection
The currency exchange for my purchase in foreign currency is incorrect.,Consumer_Protection
I noticed the currency exchange rate was incorrect after paying for something in a foreign country.,Consumer_Protection
My foreign currency exchange has been applied incorrectly.,Consumer_Protection
Why isn't my purchase exchange rate correct?,Consumer_Protection
I noticed that the exchange rate applied to a recent purchase I made abroad was incorrect.,Consumer_Protection
"I purchased something while traveling, and the exchange rate applied was wrong.",Consumer_Protection
Why is the exchange rate different on my recent purchase?,Consumer_Protection
The fee charged when I changed rubles into British pounds was too much.,Consumer_Protection
I wasn't charged the correct exchange rate for an item I purchased.,Consumer_Protection
Does the fee for exchange change?,Consumer_Protection
The rate applied to my purchase in a foreign currency was wrong.,Consumer_Protection
"I bought something while traveling, and the exchange rate was wrong.",Consumer_Protection
something is wrong with my exchange rate charge,Consumer_Protection
Seems like the exchange rate for my payment last Saturday was wrong. I was charged extra.,Consumer_Protection
It seems that something went wrong with my exchange. I changed Russian Ruble into UK pounds but have been charged entirely too much!,Consumer_Protection
I bought an item then noticed the exchange rate was wrong.,Consumer_Protection
The exchange rate applied is wrong for my international purchase.,Consumer_Protection
My card payment had the wrong exchange rate,Consumer_Protection
They used the wrong rate when I made a purchase with foreign currency.,Consumer_Protection
Does the exchange rate change each day for purchases? There is a different rate on my purchase.,Consumer_Protection
It seems that the rate I got is incorrect.,Consumer_Protection
I exchanged Russian rubles for British pounds today and got less than I expected. Was exchange rate correct?,Consumer_Protection
Was I charged more than I should of been for a currency exchange?,Consumer_Protection
What do i do if the exchange rate was wrong for the item i bought overseas?,Consumer_Protection
My client was converting their Russian ruble into UK pound currency when they noticed their bill was much too high for the exchange. What happened?,Consumer_Protection
I have been overcharged. I just changed over Russian Ruble to UK pounds and it was too much. It seems something was wrong with my exchange.,Consumer_Protection
What is your exchange rate between UK pounds and Russian rubles for my last transaction,Consumer_Protection
I think there was an error in your exchange rate.,Consumer_Protection
The exchange rate was not correct for the item I bought.,Consumer_Protection
I noticed an extra charge on the purchase that I made last Saturday on my account. Can you see if I received the correct exchange rate?,Consumer_Protection
My exchange seems to have something wrong with it. I changed over Russian Ruble to UK pounds and it appears I was charged way more than I was supposed to be.,Consumer_Protection
The correct exchange rate wasn't given to me for an item I purchased.,Consumer_Protection
"I bought something in another currency, but the exchange rate was incorrect.",Consumer_Protection
the exchange rate is wrong from something I got in another country,Consumer_Protection
"The exchange rate given to me after a purchase, was incorrect",Consumer_Protection
My card payment has the wrong exchange rate,Consumer_Protection
I have been charged way to much so something is apparently wrong with my exchange. I changed Russian Ruble into UK pounds.,Consumer_Protection
Why is the exchange rate different from what I expected?,Consumer_Protection
The exchange rate you are using is really bad.This can't be the official interbank exchange rate.,Consumer_Protection
Please check the exchange rate for my payment last Saturday. I believe I have been overcharged.,Consumer_Protection
Why was I charged extra on my last UK pound to Russian ruble exchange?,Consumer_Protection
The wrong exchange rate was used when I purchased an item.,Consumer_Protection
Why was the wrong rate applied when I bought something in a different currency?,Consumer_Protection
I bought something abroad and the exchange rate applied is wrong,Consumer_Protection
An item I bought had the wrong exchange rate applied.,Consumer_Protection
I think the rate that was applied to my purchase using foreign currency is wrong. Help!,Consumer_Protection
Why was my exchange rate a different amount than usual?,Consumer_Protection
I want to change the wrong exchange rate.,Consumer_Protection
I recently bought something abroad but the exchange rate is incorrect. Why?,Consumer_Protection
"The exchange rate you're using is terrible - this can't be the official interbank exchange rate, can it?",Consumer_Protection
I did not receive the correct amount for the exchange rate.,Consumer_Protection
"I guess exchange rate for my payment was not correct, as i charged extra on the last saturday.",Consumer_Protection
The exchange rate for my payment last Saturday must be wrong because I was charged extra.,Consumer_Protection
Are you sure this is the interbank exchange rate? This rate is really bad.,Consumer_Protection
The exchange rate you are using is really bad. This can't possibly be the official interbank exchange rate.,Consumer_Protection
I believe you charged me too much to exchange my money,Consumer_Protection
"I changed the currency, but why is it costing more?",Consumer_Protection
Why was the exchange wrong for the item I purchased?,Consumer_Protection
"I made an international purchase, but the exchange rate was wrong",Consumer_Protection
My purchase used the wrong exchange rate,Consumer_Protection
"I have been charged to much for the object I bought when abroad, the exchange rate seems to be wrong.",Consumer_Protection
I made a purchase and was charged at the wrong foreign exchange rate.,Consumer_Protection
I think that the exchange rate was wrong for the payment made last Saturday - I was charged extra.,Consumer_Protection
Why is the exchange rate for my payment incorrect?,Consumer_Protection
Your foreign exchange rate is wrong.,Consumer_Protection
It looks like the exchange rates on my card payment are wrong,Consumer_Protection
There's an error with the rate that is charged.,Consumer_Protection
I bought an item at the wrong exchange rate.,Consumer_Protection
I think the exchange rate on my card payment is incorrect.,Consumer_Protection
I bought an item that I was charged a different exchange rate for.,Consumer_Protection
I am not receiving the correct exchange rate on my card.,Consumer_Protection
When I purchased a product in another country the currency exchange was incorrect.,Consumer_Protection
The exchange rate used on your app is really bad. I'm considering closing my account because of it.,Consumer_Protection
I think I was charged extra on my payment on last Saturday.  Maybe the exchange rate was wrong?  I'd like a refund.,Consumer_Protection
I received the wrong exchange rate for an item i bought.,Consumer_Protection
Are you ripping people off with the exchange rate?  It can't be that atrocious between banks.,Consumer_Protection
I don't think the charges made when I had currency exchanged are right.,Consumer_Protection
Why am I being charged the wrong currency exchange when I purchased something abroad?,Consumer_Protection
The exchange rate for my card payment doesn't seem right.,Consumer_Protection
"When I bought something abroad, the exchange rate was wrong.",Consumer_Protection
I didn't receive the correct exchange rate for an item that I bought.,Consumer_Protection
Why is the exchange rate on my card wrong?,Consumer_Protection
I am being charged the wrong amount on my card.,Consumer_Protection
The exchange rate is incorrect on an item I recently purchased in a foreign country.,Consumer_Protection
The exchange rate is incorrect for something I bought,Consumer_Protection
My payment had a wrong exchange rate.,Consumer_Protection
The exchange rate for my electronic payment is incorrect.,Consumer_Protection
Why was I charged a higher exchange rate when I bought something abroad?,Consumer_Protection
Why didn't I receive the correct exchange rate for an item that I purchased?,Consumer_Protection
Why is the exchange rate on my card payment different than I expected?,Consumer_Protection
My rate of exchange was wrong.,Consumer_Protection
I recently bought something in foreign currency and I am unsure of the exchange rate. Is this rate applied correctly?,Consumer_Protection
I purchased something abroad but the exchange rate is incorrect.,Consumer_Protection
A foreign purchase I made has the incorrect rate applied to it.,Consumer_Protection
"When I was traveling abroad, the exchange rate was applied wrong.",Consumer_Protection
There's an error in regards to the exchange rate for an item I bought.,Consumer_Protection
"Last Saturday, I made a payment and the exchange rate was wrong.  I was charged too much.",Consumer_Protection
The exchange rate is bad. Are you sure this is the exchange rate?,Consumer_Protection
I purchased an item and the exchange rate was wrong,Consumer_Protection
Exchange rate on a purchase was incorrect,Consumer_Protection
"I'm going on a trip soon and I needed to convert my Russian ruble to UK pounds, but when I did, your company charged me above the exchange rate. Did you mess up my transaction?",Consumer_Protection
I was charged extra. Was the exchange rate for my payment last Saturday wrong?,Consumer_Protection
The exchange rate that was applied for an international purchase was wrong.,Consumer_Protection
"Hello, I believe there has been a mistake made on the exchange rate for my card. Could you please check the official interbank exchange rate for me?",Consumer_Protection
Why am I being charged more on exchange with things I bought abroad?,Consumer_Protection
"I  have been charged more than I should for the presents I bought  when abroad, the problem seems to be the exchange rate.",Consumer_Protection
I made a purchase but the exchange rate is wrong?,Consumer_Protection
Why on earth is the exchange rate so bad?   Can I get a rate closer to the actual interbank rate?,Consumer_Protection
Why is there an extra fee on my statement?,Consumer_Protection
Why did they charge me an extra $1?,Consumer_Protection
Why is there a 1 euro fee on my statement?,Consumer_Protection
Why do I see an extra £1 charge on my statement?,Consumer_Protection
I am inquiring about a $1 charge on my statement.,Consumer_Protection
What is the $1 transaction on my account?,Consumer_Protection
What is this extra pound charge for?,Consumer_Protection
I was charged $1 in a transaction.,Consumer_Protection
What is the reason for the extra fee on my statement?,Consumer_Protection
There is a pending 1£ charge on my statement.  I haven't purchased anything for 1£.  Why is it on my statement?,Consumer_Protection
Have have a small charge on my account from someone I purchased with but I'm not sure what it relates to.,Consumer_Protection
"I have a strange transaction for £1 on my statement, what is that?",Consumer_Protection
I have no idea why there is a dollar that has been charged to my account.,Consumer_Protection
I have been charged a pound for something that appears on my statement,Consumer_Protection
Why is there a $1 charge on my statement?,Consumer_Protection
Where did this extra €1 fee on my statement come from?,Consumer_Protection
Is there a reason why there is an extra £1 charge on my account?,Consumer_Protection
Can you tell me what this fee is on my statement?,Consumer_Protection
Why has another fee been placed on my statement?,Consumer_Protection
There has been a charge pending on my account statement that I can't figue out it's for a dollar.,Consumer_Protection
€1 was in my statement as an extra fee.,Consumer_Protection
Why is there an extra charge on my statement.,Consumer_Protection
"Hey, I got charged extra for some reason when I purchased an app. Is this a hidden fee or something? I don't think it's very cool.",Consumer_Protection
I see a $1 charge in a transaction.,Consumer_Protection
I had to pay a pound more than I anticipated!,Consumer_Protection
There is a €1 extra fee in my statement,Consumer_Protection
My statement contained a one pound extra fee,Consumer_Protection
I checked my account today and saw that I was charged an extra pound that I did not spend.,Consumer_Protection
What is the extra €1 on my statement for?,Consumer_Protection
I see I was charged $1 for a transaction.,Consumer_Protection
$1 charge in transaction.,Consumer_Protection
"I just looked at my app and it seems I was charged extra, why is that?",Consumer_Protection
Why is there an extra pound charge that is pending?,Consumer_Protection
I was wrongfully charged one pound.,Consumer_Protection
Why is there an extra fee charged?,Consumer_Protection
"I just checked my statement and saw a $1 charge, why is it there?",Consumer_Protection
There is an odd 1£ charge that appears as pending on my statement. What's the reason for that? I haven't purchased anything for a pound.,Consumer_Protection
Why have I been charged an extra pound?,Consumer_Protection
I think I may have been charged $1 extra on my app.  Could you provide some insight as to why this may have happened?,Consumer_Protection
Why do I see an extra €1 charge on my statement?,Consumer_Protection
Is the 1 pound charge I can see an error or an incorrect entry?,Consumer_Protection
Why did I get a $1 extra fee on the statement?,Consumer_Protection
Why was I charged $1 in a transaction?,Consumer_Protection
why is there a service fee on my statement?,Consumer_Protection
"My statement shows a 1£ purchase pending. I do not remember making this purchase, please let me know what this is about.",Consumer_Protection
I am seeing and extra 1$ charged to my account and wanted to know about it.,Consumer_Protection
Why did you charge me extra?,Consumer_Protection
An extra pound was charged!,Consumer_Protection
I got billed an extra pound!,Consumer_Protection
Why do I see an extra fee on my statement?,Consumer_Protection
"There must have been a mistake, why was I charged an extra pound?",Consumer_Protection
"When I look at my statement there is an extra fee, that is for what?",Consumer_Protection
There is an extra small charge on my card! What do I do?,Consumer_Protection
"I looked at my statement, and there is a charge for 1£ that I don't recognize.  Why is it on there?",Consumer_Protection
I got a €1 extra fee in my statement,Consumer_Protection
What is the extra fee on my statement?,Consumer_Protection
Why have I been charged an extra £1?,Consumer_Protection
"In my statement, I got a €1 extra fee.",Consumer_Protection
Why is there a charge for $1 on my account?,Consumer_Protection
"On my statement, there is a strange 1£ charge that appears as pending. What's causing that? I haven't purchased anything that's just a pound.",Consumer_Protection
what was the $1 fee i got,Consumer_Protection
I see a charge of 1L I do not recognize on my statement,Consumer_Protection
I was overcharged one extra pound!,Consumer_Protection
I noticed an extra pound charge?,Consumer_Protection
I have been charged an extra pound!,Consumer_Protection
Why does my statement show a $1 charge on my account?,Consumer_Protection
Why has my card been charged an extra pound?,Consumer_Protection
Why does my statement have an extra fee?,Consumer_Protection
There is a  €1 fee on my account I didn't authorize,Consumer_Protection
I was made to pay an additional pound!,Consumer_Protection
I was charged an extra pound for no reason. Why is that?,Consumer_Protection
It appears I have a fee in my statement.,Consumer_Protection
When did I get a $1 extra fee on my statement?,Consumer_Protection
What is this fee debit on my account?,Consumer_Protection
I was charged an extra dollar on my account and would like to know the reason.,Consumer_Protection
What is this extra €1 fee about?,Consumer_Protection
I was overcharged a pound.,Consumer_Protection
Why do i have an extra fee on my statement?,Consumer_Protection
What was the $1 charge for on my statement?,Consumer_Protection
I had a dollar charged to my account that's still pending and wanted to know what the charge is for?,Consumer_Protection
I was charged extra or a hidden fee when I purchased something from you. What's the deal? I didn't authorize that charge.,Consumer_Protection
What am I being charged an extra pound when I haven't bought something worth that much?,Consumer_Protection
why was i charged a small amount,Consumer_Protection
Do you also have this extra fee on your statement?,Consumer_Protection
Why did I get charged one pound seemingly randomly?,Consumer_Protection
Why was I charged an extra pound?,Consumer_Protection
I am being charged a pound out of nowhere. What is this?,Consumer_Protection
A pending charge of 1L appears on my statement.  Please explain as I have not made a purchase for that amount,Consumer_Protection
Why did you guys charge me an extra €1?,Consumer_Protection
Why was I charged more than I should have been?,Consumer_Protection
What is the fee on my statement for?,Consumer_Protection
"Hello, there seems to be a billing mistake associated with my account.  My app was charged $1 more than it should have.  Could you please explain why this may have happened?",Consumer_Protection
Why is there a pending hold on one pound on my statement?,Consumer_Protection
I need some help figuring out what this strange payment is on my account. It's stays pending and won't go away.,Consumer_Protection
What is this $1 charge on my account?,Consumer_Protection
There is a 1£ charge that appears as pending on my statement. What is that? I haven't purchased anything for a pound there.,Consumer_Protection
Why did a transaction I made charge me $1?,Consumer_Protection
"There seems to be an additional charge of £1 on my statement, what is the reason for this?",Consumer_Protection
I still have not received an answer as to why I was charged $1.00 in a transaction?,Consumer_Protection
Why does my statement show an extra fee?,Consumer_Protection
"There's an extra fee on my statement, why is that?",Consumer_Protection
There is some odd 1£ charge that appears as pending on my statement. What's that about? Pretty sure I haven't purchased anything for a pound there.,Consumer_Protection
There is a pending payment on my account that is very strange. I don't remember making this and it won't go away. Can you help me figure this out?,Consumer_Protection
Can you tell me about why the account I have was charged an extra 1$,Consumer_Protection
why does my statement contain an extra fee?,Consumer_Protection
Can you tell me why I was charged $1 for a transaction?,Consumer_Protection
Why is there an extra €1 fee in my statement?,Consumer_Protection
"There is an extra charge on my account I didn't authorise, it's just £1, what is it?",Consumer_Protection
What is the dollar that I have pending on my statement there?,Consumer_Protection
"I see an extra $1  charge on my statement, why is this?",Consumer_Protection
Can you please explain to me why there is an extra €1 fee in my statement?,Consumer_Protection
"There is an unexplained $1 charge on my statement, can you please explain this to me?",Consumer_Protection
How can I find out about an extra fee on my statement?,Consumer_Protection
"Hello, I see that I have been charged an extra $1 on my app.  Could you please provide me with a reason for this charge?",Consumer_Protection
"In my statement, there was an extra €1 fee",Consumer_Protection
Is there a reason there's an extra fee on my statement?,Consumer_Protection
What is this extra fee on my statement.,Consumer_Protection
What does the €1 fee mean?,Consumer_Protection
"There's a €1 fee on my statement, why?",Consumer_Protection
Why was I charged an additional $1?,Consumer_Protection
I checked my statement and am being charged one pound. Where did this charge come from?,Consumer_Protection
I do not know why I was charged for the $1 transaction.,Consumer_Protection
I wanted to know about a pending dollar that is on my statement.,Consumer_Protection
"I'm pretty frustrated about a pound charge that keeps  showing up in my account statement. It's listed in the app as ""pending"", it never changes, and now I'm thinking someone's hacked my account!",Consumer_Protection
How come there is a $1 extra charge on my statement?,Consumer_Protection
I was charged an extra pound.,Consumer_Protection
There is a charge for an additional pound.,Consumer_Protection
There is a strange 1£ charge that appears as pending on my statement. What's the cause for that? I haven't purchased anything for a pound.,Consumer_Protection
I need to know what these extra charges are on my statement?,Consumer_Protection
How come there is an extra fee on my statement?,Consumer_Protection
Why is there an extra charge of 1 dollar on my statement?,Consumer_Protection
"I checked my statement and saw a charge of one pound, where is this charge coming from?",Consumer_Protection
I don't understand why there is an extra €1 fee in my statement.,Consumer_Protection
Why was I charged extra on my app?,Consumer_Protection
Why was my account assessed a fee?,Consumer_Protection
There is an extra 1£ charge on my app. Why did you charge me extra?,Consumer_Protection
Why i'm I being charged an extra pound,Consumer_Protection
The $1.00 has still not been reverted as indicated in the previous email.,Consumer_Protection
My statement shows and extra 1$ that was charged to it and I would like to know why.,Consumer_Protection
"There is an extra $1 charge on my statement, why is that?",Consumer_Protection
Is the 1 pound charge going to be reimbursed on my card?,Consumer_Protection
I  see an extra 1£ charge on my app. Why did It charge me extra?,Consumer_Protection
Why is there a fee added to my statement?,Consumer_Protection
Why would there be an extra charge on my app?,Consumer_Protection
There is a charge for 1£ on my statement.  I do not think that I bought anything that costed 1£.  What is going on?,Consumer_Protection
Why does my transaction have an added fee?,Consumer_Protection
There is  an extra 1£ charge on my app. Why did it charge me extra?,Consumer_Protection
Why is there an additional fee showing on the statement I received?,Consumer_Protection
How come I was charged a transaction of $1?,Consumer_Protection
Please explain the charge of 1L in error.  I have purchased nothing in this amount.,Consumer_Protection
Where did the  €1 fee in my statement come from,Consumer_Protection
What is this random charge of one pound doing on my account?,Consumer_Protection
I had to pay one pound more than the set price!,Consumer_Protection
My statement is showing an extra £1 charge and I am unsure why. Is there an explanation for this?,Consumer_Protection
Do I have a $1 extra fee on the statement?,Consumer_Protection
Why is it showing that my account has been charged a dollar that is showing as pending?,Consumer_Protection
"I do not understand why there is a pending 1£ charge on my statement, I do not recall making this transaction. Can you please tell me what this is about?",Consumer_Protection
My statement shows an extra fee - what is it?,Consumer_Protection
What is this €1 charge?,Consumer_Protection
How long will the $1 charge show as pending?,Consumer_Protection
I've been charged an extra £1 and I don't know what it's for,Consumer_Protection
I was overcharged an additional pound.,Consumer_Protection
I've been charged an extra £1 and I don't know why,Consumer_Protection
My statement is showing I was Charged a dollar and I am not sure why.,Consumer_Protection
Why is there a €1 charge on my statement?,Consumer_Protection
An extra fee of €1 was in my statement,Consumer_Protection
I would like to know why a withdraw I made for some cash shows up as pending.,Synthetic_Policies
Why is my cash withdrawal still showing as pending?,Synthetic_Policies
"I have the cash already, my account still shows up as pending.  How can my account be still pending?",Synthetic_Policies
I tried to get cash out of the ATM but it is taking too long,Synthetic_Policies
Why is the cash withdrawal under pending?,Synthetic_Policies
What does it mean if my cash withdrawal does not show up properly?,Synthetic_Policies
"Hello, I have a pending transaction in my account due to an ATM machine that wasn't working. In any case if the transaction goes through, after how long can I get my money back?",Synthetic_Policies
Why is my ATM withdrawal still pending?,Synthetic_Policies
Is the cash withdrawal going to show?,Synthetic_Policies
"Cash withdrawal has been pending, why is it so?",Synthetic_Policies
My account shows up as pending after I received cash from the ATM earlier.  How can this be still pending? I've got the cash already.,Synthetic_Policies
How long does it take to verify a cash withdraw?,Synthetic_Policies
"The transaction for the cash I pulled out of the ATM earlier is pending in the app, but how if I already have the cash?",Synthetic_Policies
Why has my withdrawal not posted?,Synthetic_Policies
"When I used one of the ATMs in the city centre today, I tried to take out some money, but for whatever reason, the machine declined my card. Just checked it out in my account and that amount is still showing as pending! Is there any way that you can cancel this transaction, because I did not receive any money whatsoever from the ATM",Synthetic_Policies
Why is the cash withdraw I made shown as pending?,Synthetic_Policies
"Hello. I looked at my account and see that a transaction I tried to do is pending, but I did not complete that transaction. When I was at the ATM, the machine declined my card. Can you make sure that transaction does not go through because I definitely did not receive the money.",Synthetic_Policies
Should my cash withdrawal still be pending?,Synthetic_Policies
"Hey, I tried to withdraw some cash earlier and it's saying it's pending? Will I be charged for this?",Synthetic_Policies
There should be a cash withdrawal that I haven't seen yet.,Synthetic_Policies
Why is the app showing a still pending message on a withdraw that has already been done?,Synthetic_Policies
Why is my cash withdrawal still pending?,Synthetic_Policies
"If my cash withdrawal is still not showing, is something wrong?",Synthetic_Policies
I noticed on my online statement that an ATM withdrawal I made early is still pending.  Is this accurate?,Synthetic_Policies
